"","FIPSCode","Jurisdiction_Name","A1a","C1a","C1b","C3a","C4a","C4b","D1a","pct_counted","pct_rejected"
"1","0500100000","ARKANSAS COUNTY",10161,61,49,31,2,0,5003,0.63265306122449,0.0408163265306122
"2","0500300000","ASHLEY COUNTY",12719,135,111,111,0,0,6193,1,0
"3","0500500000","BAXTER COUNTY",29640,454,426,423,31,3,14508,0.992957746478873,0.0727699530516432
"4","0500700000","BENTON COUNTY",159483,1281,1206,1163,47,43,77929,0.964344941956882,0.038971807628524
"5","0501100000","BRADLEY COUNTY",5476,67,60,48,12,0,2889,0.8,0.2
"6","0501300000","CALHOUN COUNTY",3424,35,27,27,0,NA,1780,1,0
"7","0501500000","CARROLL COUNTY",16603,248,222,212,10,3,9087,0.954954954954955,0.045045045045045
"8","0501700000","CHICOT COUNTY",6355,196,182,182,7,0,3607,1,0.0384615384615385
"9","0501900000","CLARK COUNTY",12079,239,215,214,1,1,6801,0.995348837209302,0.00465116279069767
"10","0502100000","CLAY COUNTY",8234,21,16,16,0,0,4185,1,0
"11","0502700000","COLUMBIA COUNTY",14282,202,174,150,24,NA,6288,0.862068965517241,0.137931034482759
"12","0502900000","CONWAY COUNTY",11294,276,249,233,19,2,6554,0.93574297188755,0.0763052208835341
"13","0503100000","CRAIGHEAD COUNTY",56432,483,423,385,38,35,26189,0.91016548463357,0.0898345153664303
"14","0503300000","CRAWFORD COUNTY",34569,288,266,266,18,4,16950,1,0.0676691729323308
"15","0503500000","CRITTENDEN COUNTY",29531,340,257,400,97,14,12020,1.55642023346304,0.377431906614786
"16","0503700000","CROSS COUNTY",10575,299,263,248,0,NA,5918,0.942965779467681,0
"17","0504100000","DESHA COUNTY",6988,166,148,138,10,1,3582,0.932432432432432,0.0675675675675676
"18","0504500000","FAULKNER COUNTY",75001,626,526,499,27,11,38818,0.948669201520912,0.0513307984790875
"19","0504900000","FULTON COUNTY",7104,111,82,81,1,NA,3891,0.98780487804878,0.0121951219512195
"20","0505900000","HOT SPRING COUNTY",18204,204,203,165,23,0,8794,0.812807881773399,0.113300492610837
"21","0506100000","HOWARD COUNTY",7237,70,70,0,0,0,3464,0,0
"22","0506900000","JEFFERSON COUNTY",43092,439,357,291,66,10,20049,0.815126050420168,0.184873949579832
"23","0507100000","JOHNSON COUNTY",15490,254,226,226,0,NA,7500,1,0
"24","0507700000","LEE COUNTY",5015,149,98,98,0,0,2143,1,0
"25","0507900000","LINCOLN COUNTY",6168,72,72,70,2,2,3053,0.972222222222222,0.0277777777777778
"26","0508100000","LITTLE RIVER COUNTY",7161,62,57,53,4,0,3963,0.929824561403509,0.0701754385964912
"27","0508300000","LOGAN COUNTY",12288,77,66,66,1,0,5596,1,0.0151515151515152
"28","0508500000","LONOKE COUNTY",45500,228,204,0,24,4,20984,0,0.117647058823529
"29","0508700000","MADISON COUNTY",10096,88,80,73,7,0,5640,0.9125,0.0875
"30","0509100000","MILLER COUNTY",27156,186,165,145,20,7,11484,0.878787878787879,0.121212121212121
"31","0509500000","MONROE COUNTY",4566,75,68,57,11,2,2722,0.838235294117647,0.161764705882353
"32","0509700000","MONTGOMERY COUNTY",4914,114,84,79,5,NA,2858,0.94047619047619,0.0595238095238095
"33","0509900000","NEVADA COUNTY",5683,92,85,85,7,7,2516,1,0.0823529411764706
"34","0510100000","NEWTON COUNTY",6407,28,28,28,0,0,3094,1,0
"35","0510500000","PERRY COUNTY",6320,46,42,42,0,0,3734,1,0
"36","0510700000","PHILLIPS COUNTY",13052,365,365,317,48,NA,5653,0.868493150684931,0.131506849315068
"37","0510900000","PIKE COUNTY",5486,137,133,125,4,NA,3263,0.93984962406015,0.0300751879699248
"38","0511300000","POLK COUNTY",11983,253,227,205,22,1,6135,0.903083700440529,0.0969162995594714
"39","0511500000","POPE COUNTY",34559,289,263,217,46,6,18149,0.82509505703422,0.174904942965779
"40","0511900000","PULASKI COUNTY",248101,3028,2644,NA,344,240,134202,NA,0.130105900151286
"41","0512300000","ST. FRANCIS COUNTY",12415,273,244,244,0,0,5918,1,0
"42","0512500000","SALINE COUNTY",75824,524,474,440,36,8,41849,0.928270042194093,0.0759493670886076
"43","0512700000","SCOTT COUNTY",5154,68,62,60,2,1,2888,0.967741935483871,0.032258064516129
"44","0512900000","SEARCY COUNTY",5896,37,37,33,4,2,3256,0.891891891891892,0.108108108108108
"45","0513100000","SEBASTIAN COUNTY",71409,567,496,496,53,38,33324,1,0.106854838709677
"46","0513300000","SEVIER COUNTY",6742,66,63,60,3,0,3226,0.952380952380952,0.0476190476190476
"47","0513500000","SHARP COUNTY",11122,187,187,0,0,0,5713,0,0
"48","0513700000","STONE COUNTY",8132,12,62,13,0,0,4451,0.209677419354839,0
"49","0513900000","UNION COUNTY",27756,255,255,255,0,0,11574,1,0
"50","0514100000","VAN BUREN COUNTY",10556,166,166,137,6,NA,6345,0.825301204819277,0.036144578313253
"51","0514300000","WASHINGTON COUNTY",133455,1047,929,865,64,47,66531,0.931108719052745,0.0688912809472551
"52","0514700000","WOODRUFF COUNTY",4548,27,27,27,0,0,2122,1,0
